ID,English,Bodo,Mizo,Category
2749,um,depth,गहराई,Translation
2750,hmun zat,area,क्षेत्रफल,Translation
2751,vol,volume,आयतन,Translation
2752,phal,number,नम्बर,Translation
2753,khat,one,सै,Translation
2754,pahnih,two,नै,Translation
2755,pathum,three,थाम,Translation
2756,pali,four,ब्राय,Translation
2757,panga,five,बा,Translation
2758,ruk,six,रो,Translation
2759,sarih,seven,श्नि,Translation
2760,riat,eight,जात,Translation
2761,kua,nine,स्कौ,Translation
2762,sawm,ten,दस,Translation
2763,sawm pahnih,twenty,कुइ,Translation
2764,sawm thum,thirty,तिनकुइ,Translation
2765,sawm pali,forty,ब्राइकुइ,Translation
2766,sawm panga,fifty,बायकुइ,Translation
2767,za,hundred,सै,Translation
2768,za nget,thousand,हजार,Translation
2769,million,million,दस लाख,Translation
2770,hmasa,first,गिबि,Translation
2771,second,second,सेकंड,Translation
2772,pathumna,third,तीसरा,Translation
2773,hnua la,next,आगामी,Translation
2774,hmain la,previous,पिछला,Translation
2775,school,school,स्कुल,Translation
2776,classroom,classroom,कखा,Translation
2777,campus,campus,परिसर,Translation
2778,zirtirtu,teacher,उखार,Translation
2779,zirlaite,student,सुबुं,Translation
2780,sorkar,principal,प्रधानाचार्य,Translation
2781,coach,coach,कोच,Translation
2782,tutor,tutor,गृहशिक्षक,Translation
2783,guide,mentor,मार्गदर्शक,Translation
2784,classroom midang,classmate,सहपाठी,Translation
2785,thian,friend,गिबिर,Translation
2786,lehkhabu,book,किताब,Translation
2787,pen,pen,कलम,Translation
2788,pencil,pencil,पेंसिल,Translation
2789,lehkhabu,notebook,फोरमा,Translation
2790,tawltlang,desk,तेबुल,Translation
2791,tumbawh,chair,फुंसा,Translation
2792,board dum,blackboard,काली पट्टी,Translation
2793,board var,whiteboard,सफेद पट्टी,Translation
2794,board,board,बोर्ड,Translation
2795,chalk,chalk,सुफुर,Translation
2796,eraser,eraser,मेसनाय,Translation
2797,scale,ruler,खुनदै,Translation
2798,library,library,पुस्तकालय,Translation
2799,lab,lab,लैब,Translation
2800,zirthing,subject,विषय,Translation
2801,mathematics,math,गणित,Translation
2802,science,science,विज्ञान,Translation
2803,history,history,इतिहास,Translation
2804,geography,geography,भूगोल,Translation
2805,language,language,भाषा,Translation
2806,arts,arts,कला,Translation
2807,sport,sport,खेल,Translation
2808,music,music,संगीत,Translation
2809,computer,computer,कंप्यूटर,Translation
2810,english,english,अंग्रेजी,Translation
2811,bodo,bodo,बोडो,Translation
2812,mizo,mizo,मिजो,Translation
2813,mother language,mother tongue,मातृभाषा,Translation
2814,region language,regional language,क्षेत्रीय भाषा,Translation
2815,hriselna thawn,homework,होमवर्क,Translation
2816,inkhawm thleng,exam,परीखा,Translation
2817,test,test,परीखा,Translation
2818,zawhna,question,सवाल,Translation
2819,practice,practice,अभ्यास,Translation
2820,example,example,उदाहरण,Translation
2821,thawk,exercise,व्यायाम,Translation
2822,project,project,परियोजना,Translation
2823,group,group,समूह,Translation
2824,paihra,pair,जोड़ी,Translation
2825,presentation,presentation,प्रस्तुति,Translation
2826,thawk,assignment,कार्य,Translation
2827,report,report,रिपोर्ट,Translation
2828,quiz,quiz,प्रश्नोत्तरी,Translation
2829,review,revision,पुनरावृत्ति,Translation
2830,summary,summary,सारांश,Translation
2831,notes,notes,नोट्स,Translation
2832,dictionary,dictionary,शब्दकोश,Translation
2833,thesaurus,thesaurus,पर्यायवाची,Translation
2834,sentence example,example sentence,उदाहरण वाक्य,Translation
2835,practice zawhna,practice question,अभ्यास प्रश्न,Translation
2836,lesson,lesson,पाठ,Translation
2837,class,class,कक्षा,Translation
2838,darkar,period,घंटा,Translation
2839,rest,break,विश्राम,Translation
2840,tlêm chaw,lunch,दोपहर का खाना,Translation
2841,assembly,assembly,सभा,Translation
2842,ni khum,holiday,छुट्टी,Translation
2843,ni an,vacation,अवकाश,Translation
2844,term,term,अवधि,Translation
2845,semester,semester,सेमेस्टर,Translation
2846,kum,yearly,वार्षिक,Translation
2847,thla,monthly,मासिक,Translation
2848,kar,weekly,साप्ताहिक,Translation
2849,ni,daily,दैनिक,Translation
2850,hun,time,समय,Translation
2851,tun ni,today,आज,Translation
2852,tukleha,tomorrow,कल,Translation
2853,zanin,yesterday,कल,Translation
2854,nisa,now,अभी,Translation
2855,hnua la,later,बाद में,Translation
2856,tui zet,soon,जल्द,Translation
2857,zawng zawng,always,हमेशा,Translation
2858,aih lo,never,कभी नहीं,Translation
2859,diw diw,sometimes,कभी-कभी,Translation
2860,nasa nasa,often,अक्सर,Translation
2861,hlem,rarely,कम,Translation
2862,nasa zawk,usually,आमतौर पर,Translation
2863,thawh,again,फिर,Translation
2864,zing,morning,सुबह,Translation
2865,tlêm,afternoon,दोपहर,Translation
2866,zan tlêm,evening,शाम,Translation
2867,zan,night,रात,Translation
2868,ni,day,दिन,Translation
2869,kar,week,सप्ताह,Translation
2870,thla,month,महीना,Translation
2871,kum,year,साल,Translation
2872,darkar,hour,घंटा,Translation
2873,minute,minute,मिनट,Translation
2874,hun siam,timetable,समय सारणी,Translation
2875,hun khat,deadline,समय सीमा,Translation
2876,hun lo,due,देय,Translation
2877,tling,late,देर,Translation
2878,nisa,immediate,तुरंत,Translation
2879,lo,attendance,उपस्थिति,Translation
2880,lo,present,मौजूद,Translation
2881,aih lo,absent,अनुपस्थित,Translation
2882,duh,permission,अनुमति,Translation
2883,mi,people,लोग,Translation
2884,nu,mother,माता,Translation
2885,pa,father,पिता,Translation
2886,naupa,brother,भाई,Translation
2887,thlai,sister,बहन,Translation
2888,fapa,son,पुत्र,Translation
2889,fate,daughter,पुत्री,Translation
2890,tetu,grandfather,दादा,Translation
2891,pui,grandmother,दादी,Translation
2892,nau pa,uncle,चाचा,Translation
2893,nau nu,aunt,चाची,Translation
2894,pa,husband,पति,Translation
2895,nu,wife,पत्नी,Translation
2896,naupang,child,बच्चा,Translation
2897,naupang te,baby,शिशु,Translation
2898,pui,family,परिवार,Translation
2899,in,home,घर,Translation
2900,zaitu,village,गांव,Translation
2901,town,town,कस्बा,Translation
2902,khawpui,city,शहर,Translation
2903,hmun,state,राज्य,Translation
2904,ram,country,देश,Translation
2905,khawpui ber,capital,राजधानी,Translation
2906,lam,street,सड़क,Translation
2907,kawng,road,रास्ता,Translation
2908,hmun,address,पता,Translation
2909,phone,phone,फोन,Translation
2910,email,email,ईमेल,Translation
2911,enkawl,guardian,अभिभावक,Translation
2912,hming,name,नाम,Translation
2913,ni zat,age,आयु,Translation
2914,pa nu,gender,लिंग,Translation
2915,phal zat,roll number,रोल नंबर,Translation
2916,ID card,ID card,पहचान पत्र,Translation
2917,hmun,place,स्थान,Translation
2918,bank,bank,बैंक,Translation
2919,post office,post office,डाकघर,Translation
2920,hospital,hospital,अस्पताल,Translation
2921,clinic,clinic,क्लिनिक,Translation
2922,pharmacy,pharmacy,दवाखाना,Translation
2923,police station,police station,पुलिस स्टेशन,Translation
2924,fire station,fire station,अग्निशमन स्टेशन,Translation
2925,bus stop,bus stop,बस स्टॉप,Translation
2926,train station,train station,रेलवे स्टेशन,Translation
2927,airport,airport,हवाई अड्डा,Translation
2928,station,station,स्टेशन,Translation
2929,market,market,बाजार,Translation
2930,shop,shop,दुकान,Translation
2931,motor,vehicle,वाहन,Translation
2932,motor,car,कार,Translation
2933,bus,bus,बस,Translation
2934,train,train,ट्रेन,Translation
2935,baisakul,bicycle,साइकिल,Translation
2936,motorbike,motorbike,मोटरबाइक,Translation
2937,truck,truck,ट्रक,Translation
2938,taxi,taxi,टैक्सी,Translation
2939,lawng,boat,नाव,Translation
2940,ship,ship,जहाज,Translation
2941,plane,plane,हवाई जहाज,Translation
2942,ticket,ticket,टिकट,Translation
2943,thlan,fare,किराया,Translation
2944,trip,trip,यात्रा,Translation
2945,journey,journey,यात्रा,Translation
2946,chaw,food,खाना,Translation
2947,buh,rice,चावल,Translation
2948,puawn,bread,ब्रेड,Translation
2949,tui,water,पानी,Translation
2950,tui tul,milk,दूध,Translation
2951,ti,tea,चाय,Translation
2952,coffee,coffee,कॉफी,Translation
2953,juice,juice,जूस,Translation
2954,arhte,egg,अंडा,Translation
2955,sa,meat,मांस,Translation
2956,sangha,fish,मछली,Translation
2957,ar,chicken,चिकन,Translation
2958,thei,fruit,फल,Translation
2959,thing hring,vegetable,सब्जी,Translation
2960,chi,salt,नमक,Translation
2961,chhe,sugar,शक्कर,Translation
2962,ka,spice,मसाला,Translation
2963,thau,oil,तेल,Translation
2964,sak puan,butter,माखन,Translation
2965,khuai,honey,शहद,Translation
2966,zing chaw,breakfast,नाश्ता,Translation
2967,zan chaw,dinner,रात का खाना,Translation
2968,chaw te,snack,नाश्ता,Translation
2969,menu,menu,मेनू,Translation
2970,thlan,price,कीमत,Translation
2971,thing hring ei,vegetarian,शाकाहारी,Translation
2972,sum,money,पैसा,Translation
2973,customer,customer,ग्राहक,Translation
2974,receipt,receipt,रसीद,Translation
2975,bill,bill,बिल,Translation
2976,wallet,wallet,बटुआ,Translation
2977,thawhtute,clothes,कपड़े,Translation
2978,shirt,shirt,शर्ट,Translation
2979,pants,pants,पैंट,Translation
2980,skirt,skirt,स्कर्ट,Translation
2981,dress,dress,ड्रेस,Translation
2982,kengkawng,shoe,जूता,Translation
2983,socks,socks,मोजे,Translation
2984,lukawng,hat,टोपी,Translation
2985,cap,cap,कैप,Translation
2986,khaw,bag,बैग,Translation
2987,bottle,bottle,बोतल,Translation
2988,glass,glass,गिलास,Translation
2989,bel,plate,प्लेट,Translation
2990,theikhia,spoon,चम्मच,Translation
2991,fork,fork,कांटा,Translation
2992,hrai,knife,चाकू,Translation
2993,khawm,cup,कप,Translation
2994,sawipui,sentence,वाक्य,Translation
2995,chhiarphung,paragraph,अनुच्छेद,Translation
2996,thilpek,word,शब्द,Translation
2997,phrase,phrase,मुहावरा,Translation
2998,vocabulary,vocabulary,शब्दावली,Translation
2999,grammar,grammar,व्याकरण,Translation
3000,verb,verb,क्रिया,Translation
3001,noun,noun,संज्ञा,Translation
3002,adjective,adjective,विशेषण,Translation
3003,adverb,adverb,क्रियाविशेषण,Translation
3004,pronoun,pronoun,सर्वनाम,Translation
3005,preposition,preposition,पूर्वसर्ग,Translation
3006,conjunction,conjunction,संयोजक,Translation
3007,article,article,लेख,Translation
3008,punctuation,punctuation,विराम चिह्न,Translation
3009,capital letter,capital letter,बड़ा अक्षर,Translation
3010,lowercase,lowercase,छोटा अक्षर,Translation
3011,alphabet,alphabet,वर्णमाला,Translation
3012,letter,letter,अक्षर,Translation
3013,awmzia,meaning,अर्थ,Translation
3014,definition,definition,परिभाषा,Translation
3015,spelling,spelling,वर्तनी,Translation
3016,pronunciation,pronunciation,उच्चारण,Translation
3017,same word,synonym,समानार्थी,Translation
3018,opposite,antonym,विलोम,Translation
3019,translate la,translate to,अनुवाद करो,Translation
3020,atanga translate,translate from,से अनुवाद,Translation
3021,translate,translation,अनुवाद,Translation
3022,zawi deuh in sawi,speak slowly,धीरे बोलो,Translation
3023,sawi dik,speak clearly,स्पष्ट बोलो,Translation
3024,ka hnua nawn rawh,repeat after me,मेरे बाद दोहराओ,Translation
3025,ngai le nawn rawh,listen and repeat,सुनो और दोहराओ,Translation
3026,ko leng chhan pe,answer loudly,जोर से जवाब दो,Translation
3027,ziak thianghlim,write neatly,साफ लिखो,Translation
3028,ziak dik,write clearly,स्पष्ट लिखो,Translation
3029,label,label,लेबल,Translation
3030,diagram,diagram,आरेख,Translation
3031,se cia siam rawh,contrast,विपरीत करो,Translation
3032,zir thang rawh,analyse,विश्लेषण करो,Translation
3033,summary siam rawh,summarize,सारांश दो,Translation
3034,hmachuah siam rawh,predict,भविष्यवाणी करो,Translation
3035,hypothesis,hypothesis,परिकल्पना,Translation
3036,experiment,experiment,प्रयोग,Translation
3037,en rawh,observe,देखो,Translation
3038,teh rawh,measure,मापो,Translation
3039,ziak rawh,record,दर्ज करो,Translation
3040,data,data,आंकड़े,Translation
3041,graph,graph,ग्राफ,Translation
3042,table,table,तालिका,Translation
3043,chart,chart,चार्ट,Translation
3044,map,map,नक्शा,Translation
3045,model,model,मॉडल,Translation
3046,material,material,सामग्री,Translation
3047,tool,tool,उपकरण,Translation
3048,equipment,equipment,उपकरण,Translation
3049,safety,safety,सुरक्षा,Translation
3050,rule,rule,नियम,Translation
3051,instruction,instruction,निर्देश,Translation
3052,kawng,direction,दिशा,Translation
3053,procedure,procedure,प्रक्रिया,Translation
3054,method,method,विधि,Translation
3055,result,result,परिणाम,Translation
3056,conclusion,conclusion,निष्कर्ष,Translation
3057,discussion,discussion,चर्चा,Translation
3058,presentation skills,presentation skills,प्रस्तुति कौशल,Translation
3059,confidence,confidence,आत्मविश्वास,Translation
3060,participation,participation,भागीदारी,Translation
3061,behaviour,behaviour,व्यवहार,Translation
3062,discipline,discipline,अनुशासन,Translation
3063,respect,respect,सम्मान,Translation
3064,marking,marking,अंकन,Translation
3065,feedback,feedback,प्रतिक्रिया,Translation
3066,comment,comment,टिप्पणी,Translation
3067,duh zawt rawh,ask permission,अनुमति मांगो,Translation
3068,kut kalh rawh,raise hand,हाथ उठाओ,Translation
3069,hun hun ka thi rawh,take turns,बारी लो,Translation
3070,cheat,cheat,धोखा,Translation
3071,collaborate,collaborate,सहयोग,Translation
3072,technology,technology,तकनीक,Translation
3073,website,website,वेबसाइट,Translation
3074,internet,internet,इंटरनेट,Translation
3075,offline,offline,ऑफलाइन,Translation
3076,online,online,ऑनलाइन,Translation
3077,message,message,संदेश,Translation
3078,chat,chat,चैट,Translation
3079,video call,video call,वीडियो कॉल,Translation
3080,camera,camera,कैमरा,Translation
3081,microphone,microphone,माइक्रोफोन,Translation
3082,speaker,speaker,स्पीकर,Translation
3083,screen,screen,स्क्रीन,Translation
3084,keyboard,keyboard,कीबोर्ड,Translation
3085,mouse,mouse,माउस,Translation
3086,printer,printer,प्रिंटर,Translation
3087,scanner,scanner,स्कैनर,Translation
3088,USB,USB,यूएसबी,Translation
3089,file,file,फाइल,Translation
3090,folder,folder,फोल्डर,Translation
3091,document,document,दस्तावेज़,Translation
3092,file hawng rawh,open file,फाइल खोलो,Translation
3093,password,password,पासवर्ड,Translation
3094,username,username,उपयोगकर्ता नाम,Translation
3095,settings,settings,सेटिंग्स,Translation
3096,app,app,ऐप,Translation
3097,thei,can,खांनो,Translation
3098,thei ang,could,खांनो होयो,Translation
3099,ang,will,गोनां,Translation
3100,ang,would,गोनांथि,Translation
3101,tur,shall,गोनांथि,Translation
3102,tur,should,गोनांथि,Translation
3103,thei,may,खांनो,Translation
3104,thei ang,might,खांनो बाहाय,Translation
3105,ngei tur,must,गोनांथि,Translation
3106,ka ni,am,आं दङ,Translation
3107,a ni,is,आरो,Translation
3108,an ni,are,आरो,Translation
3109,a ni ta,was,होनो,Translation
3110,an ni ta,were,होनो,Translation
3111,ni mek,being,होयायनाय,Translation
3112,ni ta,been,होयो,Translation
3113,a nei,has,आरो,Translation
3114,a nei ta,had,होनो आरो,Translation
3115,nei mek,having,आरोनाय,Translation
3116,a tih,does,थां,Translation
3117,a tih ta,did,होनो थां,Translation
3118,tih mek,doing,थां दङ,Translation
3119,leh,and,आरो,Translation
3120,emaw,or,बा,Translation
3121,mahse,but,दिनाय,Translation
3122,chuvang,because,थांखो,Translation
3123,chuvang,so,थांखो,Translation
3124,mahse,although,होयो दिनाय,Translation
3125,hun lai,while,बेलाथाव,Translation
3126,chu chu,if,बा,Translation
3127,aih lo chu chu,unless,नाङा होयो,Translation
3128,chuvang,because of,कारण से,Translation
3129,chuvang,in order to,ताकि,Translation
3130,ngai thla,as if,जैसे,Translation
3131,hun lai,as long as,जब तक,Translation
3132,chu chu,as soon as,जैसे ही,Translation
3133,chu chu dey,even if,भले ही,Translation
3134,mahse,however,हालांकि,Translation
3135,chuvang,therefore,इसलिए,Translation
3136,chuvang,thus,इस प्रकार,Translation
3137,a thui le,besides,इसके अलावा,Translation
3138,a thui le,moreover,इसके अलावा,Translation
3139,engtin,when,मावनो,Translation
3140,engvangin,why,माबाव,Translation
3141,engtin,how,जोबोन,Translation
3142,engzat,how many,जोबोन नम्बर,Translation
3143,engzat,how much,जोबोन सान,Translation
3144,nasa,more,अधिक,Translation
3145,hlem,less,कम,Translation
3146,nasa,many,बहुत,Translation
3147,hlem,few,कम,Translation
3148,zawng zawng,all,सब,Translation
3149,emaw,some,कुछ,Translation
3150,aih,none,कोई नहीं,Translation
3151,kumsa kumsa,every,हर,Translation
3152,kumsa kumsa,each,प्रत्येक,Translation
3153,pahnih,both,दोनों,Translation
3154,emaw,either,कोई भी,Translation
3155,aih loah,neither,न तो,Translation
3156,dang,other,अन्य,Translation
3157,dang,another,और,Translation
3158,awle,yes,अं,Translation
3159,aih,no,नङा,Translation
3160,ok,ok,ठीक,Translation
3161,ok ta,agreed,सहमत,Translation
3162,dik lo,disagree,असहमत,Translation
3163,Tarun,तारुन,Tarun,Names
3164,Priya,प्रिया,Priya,Names
3165,Rakesh,राकेश,Rakesh,Names
3166,Anjali,अंजली,Anjali,Names
3167,Rahul,राहुल,Rahul,Names
3168,Kiran,किरण,Kiran,Names
3169,Aditi,अदिति,Aditi,Names
3170,Suman,सुमन,Suman,Names
3171,Manoj,मनोज,Manoj,Names
3172,Reena,रीना,Reena,Names
3173,India,इन्डिया,India,Place Names
3174,Assam,असम,Assam,Place Names
3175,Mizoram,मिजोरम,Mizoram,Place Names
3176,Delhi,दिल्ली,Delhi,Place Names
3177,Mumbai,मुंबई,Mumbai,Place Names
3178,Hyderabad,हैदराबाद,Hyderabad,Place Names
3179,Guwahati,गुवाहाटी,Guwahati,Place Names
3180,cousin,— (no direct translation),— (no direct translation),Family
3181,neighbor,— (no direct translation),— (no direct translation),Community
3182,fresh,ताजा,thar,Adjectives
3183,broken,टूटा,phramin,Adjectives
3184,bookstore,किताब की दुकान,bookstore,Places
3185,canteen,कैंटीन,canteen,School Places
3186,playground,खेल का मैदान,playground,School Places
3187,hostel,छात्रावास,hostel,School Places
3188,campus,परिसर,campus,School Places
3189,principal,प्रधानाचार्य,sorkar,School Staff
3190,mentor,मार्गदर्शक,guide,School Staff
3191,coach,कोच,coach,School Staff
3192,motivation,प्रेरणा,motivation,Personal Values
3193,discipline,अनुशासन,discipline,Personal Values
3194,respect,सम्मान,respect,Personal Values
3195,honesty,ईमानदारी,honesty,Personal Values
3196,responsibility,जिम्मेदारी,responsibility,Personal Values
3197,punctual,समय पर,hun dik,Adjectives
3198,creative,रचनात्मक,creative,Adjectives
3199,imagination,कल्पना,imagination,Nouns
3200,talent,प्रतिभा,talent,Nouns
3201,skill,कौशल,skill,Nouns
3202,ability,क्षमता,ability,Nouns
3203,goal,लक्ष्य,goal,Nouns
3204,dream,सपना,dream,Nouns
3205,plan,योजना,plan,Nouns
3206,success,सफलता,success,Nouns
3207,failure,विफलता,failure,Nouns
3208,effort,प्रयास,effort,Nouns
3209,achieve,प्राप्त करना,achieve,Verbs
3210,celebrate,मनाना,celebrate,Verbs
3211,festival,त्योहार,festival,Nouns
3212,vacation,अवकाश,ni an,Nouns
3213,undo,पूर्ववत्,undo,Computer
3214,redo,पुनः,redo,Computer
3215,simple,सरल,awlsam,Adjectives
3216,complex,जटिल,complex,Adjectives
3217,broken,टूटा,phramin,Adjectives
3218,north,उत्तर,north,Direction
3219,south,दक्षिण,south,Direction
3220,east,पूर्व,east,Direction
3221,west,पश्चिम,west,Direction
3222,route,मार्ग,route,Travel
3223,direction,दिशा,kawng,Nouns
3224,guide,मार्गदर्शक,guide,Nouns
3225,leader,नेता,leader,Nouns
3226,team,दल,team,Nouns
3227,group,समूह,group,Nouns
3228,member,सदस्य,member,Nouns
3229,winner,विजेता,winner,Nouns
3230,loser,हारने वाला,loser,Nouns
3231,practice,अभ्यास,practice,Nouns
3232,training,प्रशिक्षण,training,Nouns
3233,bookstore,किताब की दुकान,bookstore,Places
3234,certificate,प्रमाणपत्र,certificate,School
3235,degree,डिग्री,degree,School
3236,admission,प्रवेश,admission,School
3237,application,आवेदन,application,School
3238,interview,साक्षात्कार,interview,School
3239,result,परिणाम,result,School
3240,rank,रैंक,rank,School
3241,scholarship,छात्रवृत्ति,scholarship,School
3242,fee,फीस,fee,School
3243,receipt,रसीद,receipt,School
3244,bill,बिल,bill,School
3245,wallet,बटुआ,wallet,Objects
3246,ticket counter,टिकट काउंटर,ticket counter,Travel
3247,airport,हवाई अड्डा,airport,Travel
3248,station,स्टेशन,station,Travel
3249,pilot,पायलट,pilot,Occupations
3250,driver,चालक,driver,Occupations
3251,passenger,यात्री,passenger,Travel
3252,children,बच्चे,naupang,Family
3253,infant,शिशु,naupang te,Family
3254,adult,वयस्क,adult,Family
3255,elder,बुजुर्ग,elder,Family
3256,teacher's room,शिक्षक का कमरा,teacher's room,School Places
3257,staff room,स्टाफ कक्ष,staff room,School Places
3258,office,कार्यालय,office,Places
3259,department,विभाग,department,School
3260,section,खंड,section,School
3261,roll number,रोल नंबर,phal zat,School
3262,ID card,पहचान पत्र,ID card,School
3263,register,पंजीकरण,register,School
3264,attendance,उपस्थिति,lo,School
3265,late,देर,tling,School
3266,leave,छुट्टी,dah,School
3267,permission,अनुमति,duh,School
3268,help desk,सहायता डेस्क,help desk,Places
3269,volunteer,स्वयंसेवक,volunteer,Occupations
3270,competition,प्रतियोगिता,competition,School Events
3271,prize,पुरस्कार,prize,School Events
3272,award,पुरस्कार,award,School Events
3273,runner up,उपविजेता,runner up,School Events
3274,good job,अच्छा काम,tha tak,Feedback
3275,well done,अच्छा किया,thawk tha,Feedback
3276,try again,फिर कोशिश करो,bei thawh ang,Feedback
3277,improve,सुधार,tihchangtlun rawh,Feedback
3278,focus,ध्यान,ngaithla,Verbs
3279,attention,ध्यान,ngaithla,Nouns
3280,noise,शोर,ko leng,Nouns
3281,grade,गुणमत्ता,grade,School
3282,mark,निशान,mark,School
3283,score,अङ्क,score,School
3284,excellent,बेहतरीन,tha tak,Adjectives
3285,submit,सुपुर्द करना,pe rawh,Verbs
3286,deadline,समय सीमा,hun khat,Nouns
3287,revision,पुनरावृत्ति,review,School
3288,summary,सारांश,summary,School
3289,notes,नोट्स,notes,School
3290,highlight,चिन्ह थ,sign rawh,Verbs
3291,underline,रेखा खींचना,line rawh,Verbs
3292,diagram,आरेख,diagram,School
3293,label,लेबल,label,Verbs
3294,calculate,गणना करो,chhut rawh,Verbs
3295,solve,हल करो,chinfel rawh,Verbs
3296,explain,समझाओ,sawifiah rawh,Verbs
3297,describe,वर्णन करो,hriazaih rawh,Verbs
3298,compare,तुलना करो,zirtlai rawh,Verbs
3299,contrast,विपरीत करो,se cia siam rawh,Verbs
3300,analysis,विश्लेषण,zir thang rawh,Nouns
3301,predict,भविष्यवाणी करो,hmachuah siam rawh,Verbs
3302,experiment,प्रयोग,experiment,Science
3303,observe,देखो,en rawh,Verbs
3304,measure,मापो,teh rawh,Verbs
3305,record,दर्ज करो,ziak rawh,Verbs
3306,data,आंकड़े,data,Science
3307,graph,ग्राफ,graph,Science
3308,table,तालिका,table,Science
3309,chart,चार्ट,chart,Science
3310,model,मॉडल,model,Science
3311,tool,उपकरण,tool,Objects
3312,equipment,उपकरण,equipment,Objects
3313,safety,सुरक्षा,safety,School
3314,rule,नियम,rule,School
3315,instruction,निर्देश,instruction,School
3316,method,विधि,method,School
3317,procedure,प्रक्रिया,procedure,School
3318,conclusion,निष्कर्ष,conclusion,School
3319,discussion,चर्चा,discussion,School
3320,presentation skills,प्रस्तुति कौशल,presentation skills,Skills
3321,communication,संचार,communication,Skills
3322,leadership,नेतृत्व,leadership,Skills
3323,teamwork,सामूहिक कार्य,teamwork,Skills
3324,problem solving,समस्या समाधान,problem solving,Skills
3325,critical thinking,आलोचनात्मक सोच,critical thinking,Skills
3326,decision making,निर्णय लेना,decision making,Skills
3327,creativity,रचनात्मकता,creativity,Skills
3328,innovation,नवाचार,innovation,Skills
3329,technology,तकनीक,technology,Subjects
3330,engineering,अभियांत्रिकी,engineering,Subjects
3331,statistics,सांख्यिकी,statistics,Subjects
3332,economics,अर्थशास्त्र,economics,Subjects
3333,finance,वित्त,finance,Subjects
3334,marketing,विपणन,marketing,Subjects
3335,sales,बिक्रय,sales,Subjects
3336,government,सरकार,government,Subjects
3337,politics,राजनीति,politics,Subjects
3338,community,समुदाय,community,Society
3339,environment,वातावरण,environment,Environment
3340,climate,जलवायु,climate,Environment
3341,pollution,प्रदूषण,pollution,Environment
3342,recycle,पुनर्चक्र,recycle,Environment
3343,sustainability,स्थिरता,sustainability,Environment
3344,forest fire,जंगल की आग,forest fire,Environment
3345,rainfall,वर्षा,rainfall,Environment
3346,temperature,तापमान,temperature,Environment
3347,global warming,ग्लोबल वार्मिंग,global warming,Environment
3348,carbon emission,कार्बन उत्सर्जन,carbon emission,Environment
3349,medical waste,चिकित्सा अपशिष्ट,medical waste,Environment
3350,hazardous waste,खतरनाक अपशिष्ट,hazardous waste,Environment
3351,donate,दान देना,donate,Community
3352,charity,दान,charity,Community
3353,fundraiser,धनराशि संग्रहकर्ता,fundraiser,Community
3354,support group,सहायता समूह,support group,Community
3355,special needs,विशेष आवश्यकताएं,special needs,Community
3356,counseling,परामर्श,counseling,Services
3357,career guidance,कैरियर मार्गदर्शन,career guidance,School Services
3358,internship,इंटर्नशिप,internship,School Services
3359,job,नौकरी,job,Occupations
3360,vacancy,रिक्ति,vacancy,Occupations
3361,resume,जीवनवृत्त,resume,Documents
3362,CV,सीवी,CV,Documents
3363,portfolio,पोर्टफोलियो,portfolio,Documents
3364,references,संदर्भ,references,Documents
3365,cover letter,कवर पत्र,cover letter,Documents
3366,meeting,बैठक,meeting,Events
3367,schedule,समय सारणी,hun siam,School
3368,calendar,कैलेंडर,calendar,Objects
3369,event,घटना,event,Events
3370,reminder,स्मरणीय,reminder,Nouns
3371,alert,सतर्कता,alert,Nouns
3372,notification,सूचना,notification,Nouns
3373,security,सुरक्षा,security,Computer
3374,backup,बैकअप,backup,Computer
3375,restore,पुनः स्थापित,restore,Computer
3376,cloud,क्लाउड,cloud,Computer
3377,server,सर्वर,server,Computer
3378,database,डेटाबेस,database,Computer
3379,API,एपीआई,API,Computer
3380,frontend,फ्रंटएंड,frontend,Computer
3381,backend,बैकएंड,backend,Computer
3382,bug,बग,bug,Computer
3383,error,त्रुटि,error,Computer
3384,fix,ठीक करना,fix,Verbs
3385,software,सॉफ्टवेयर,software,Computer
3386,hardware,हार्डवेयर,hardware,Computer
3387,network,नेटवर्क,network,Computer
3388,wifi,वाईफाई,wifi,Computer
3389,bluetooth,ब्लूटूथ,bluetooth,Computer
3390,signal,संकेत,signal,Computer
3391,speed,गति,speed,Nouns
3392,battery,बैटरी,battery,Computer
3393,charger,चार्जर,charger,Computer
3394,wireless,वायरलेस,wireless,Computer
3395,power,शक्ति,power,Nouns
3396,restart,पुनः प्रारंभ,restart,Computer
3397,shutdown,बंद करना,shutdown,Verbs
3398,duster,झाड़न,duster,Objects
3399,soap,साबुन,soap,Objects
3400,water tap,नल,water tap,Objects
3401,bucket,बाल्टी,bucket,Objects
3402,mop,पोंछा,mop,Objects
3403,broom,झाड़ू,broom,Objects
3404,dustbin,कूड़ेदान,dustbin,Objects
3405,cleaner,सफाई कर्मचारी,cleaner,Occupations
3406,gardener,माली,gardener,Occupations
3407,security guard,सुरक्षा गार्ड,security guard,Occupations
3408,gate,फाटक,gate,Objects
3409,parking,पार्किंग,parking,Places
3410,field,खेत,field,Places
3411,court,अदालत,court,Places
3412,football,फुटबॉल,football,Sports
3413,cricket,क्रिकेट,cricket,Sports
3414,volleyball,वॉलीबॉल,volleyball,Sports
3415,running,दौड़ना,running,Sports
3416,jumping,कूदना,jumping,Sports
3417,swimming,तैराकी,swimming,Sports
